feature_uid,admin_level,district_name,constituency_name,river_flood_threshold,river_flood_mean,river_flood_min,river_flood_max,river_flood_p10,river_flood_p90,river_flood_affected_km2,river_flood_exposed_children,river_flood_exposed_children_pct,ag_drought_threshold,ag_drought_mean,ag_drought_min,ag_drought_max,ag_drought_p10,ag_drought_p90,ag_drought_affected_km2,ag_drought_exposed_children,ag_drought_exposed_children_pct,spei_drought_threshold,spei_drought_mean,spei_drought_min,spei_drought_max,spei_drought_p10,spei_drought_p90,spei_drought_affected_km2,spei_drought_exposed_children,spei_drought_exposed_children_pct,spi_drought_threshold,spi_drought_mean,spi_drought_min,spi_drought_max,spi_drought_p10,spi_drought_p90,spi_drought_affected_km2,spi_drought_exposed_children,spi_drought_exposed_children_pct,drought_any_exposed_children,drought_any_exposed_children_pct,drought_any_affected_km2,wind_threshold_kmh,rain_threshold_mm_day,wind_exceed_days_tier_1,wind_exceed_days_tier_2,wind_exceed_days_tier_3,rain_exceed_days_tier_1,rain_exceed_days_tier_2,rain_exceed_days_tier_3,analysis_start,analysis_end_exclusive,analysis_scale_m,wind_era5_exceed_days_mean,wind_era5_exceed_days_max,wind_era5_exceed_days_p90,rain_era5_exceed_days_mean,rain_era5_exceed_days_max,rain_era5_exceed_days_p90,wind_era5_exposed_children,wind_era5_exposed_children_pct,wind_era5_ge5d_exposed_children,wind_era5_ge5d_exposed_children_pct,wind_era5_ge15d_exposed_children,wind_era5_ge15d_exposed_children_pct,wind_era5_ge30d_exposed_children,wind_era5_ge30d_exposed_children_pct,rain_era5_exposed_children,rain_era5_exposed_children_pct,rain_era5_ge5d_exposed_children,rain_era5_ge5d_exposed_children_pct,rain_era5_ge15d_exposed_children,rain_era5_ge15d_exposed_children_pct,rain_era5_ge30d_exposed_children,rain_era5_ge30d_exposed_children_pct,any_exceed_exposed_children,any_exceed_exposed_children_pct,any_risk_exposed_children,any_risk_exposed_children_pct,any_risk_affected_km2
Balaka||Balaka Bwaila,constituency,Balaka,Balaka Bwaila,0.01,,,,,,0.0,0.0,0.0,30,,,,,,395.6464548627537,48054.54086925115,100.0,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,48054.54086925115,100.0,395.6464548627537,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,19.61296472831268,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48054.54086925115,100.0,48054.54086925115,100.0,48054.54086925115,100.0,0.0,0.0,48054.54086925115,100.0,0.0,0.0,0.0
Balaka||Balaka Ngwangwa,constituency,Balaka,Balaka Ngwangwa,0.01,,,,,,0.0,0.0,0.0,30,,,,,,181.81565046754537,40260.94167124828,100.0,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,40260.94167124828,100.0,181.81565046754537,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,20.32983193277311,23,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40260.94167124828,100.0,40260.94167124828,100.0,40260.94167124828,100.0,0.0,0.0,40260.94167124828,100.0,0.0,0.0,0.0
Balaka||Balaka Rivirivi,constituency,Balaka,Balaka Rivirivi,0.01,,,,,,40.698606030847515,483.97133880161186,1.0109654459909772,30,,,,,,374.79281477764545,47741.4959664489,99.72698565478917,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,47741.4959664489,99.72698565478917,374.79281477764545,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,19.985714285714284,22,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47872.193923226456,100.0,47872.193923226456,100.0,47872.193923226456,100.0,0.0,0.0,47872.193923226456,100.0,469.43589282067967,0.9806024214672988,40.698606030847515
Balaka||Balaka Ulongwe,constituency,Balaka,Balaka Ulongwe,0.01,,,,,,30.225171300009187,40.41720360803838,0.08189083471230113,30,,,,,,362.7012525362127,49350.83815641402,99.99161172982917,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,49350.83815641402,99.99161172982917,362.7012525362127,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,19.02982107355865,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49354.97818532696,100.0,49354.97818532696,100.0,49354.97818532696,100.0,0.0,0.0,49354.97818532696,100.0,38.27411170181106,0.07754863462423696,14.218465795703962
Balaka||Balaka Utale,constituency,Balaka,Balaka Utale,0.01,,,,,,72.17802364241842,811.6747536574217,1.703270747569205,30,,,,,,788.9496986744448,47650.82340155402,99.99356667400883,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,47650.82340155402,99.99356667400883,788.9496986744448,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,21.35513126491647,24,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47653.88913158933,100.0,47653.88913158933,100.0,47653.88913158933,100.0,0.0,0.0,47653.88913158933,100.0,811.6747536574217,1.703270747569205,72.17802364241842
Blantyre||Blantyre Central,constituency,Blantyre,Blantyre Central,0.01,,,,,,10.046367165154102,102.95601369761957,0.3062910360520648,30,,,,,,214.79155181365857,30948.045734974745,92.06950280526706,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,30948.045734974745,92.06950280526706,214.79155181365857,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,19.132267441860463,23,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33613.78609856497,100.0,33613.78609856497,100.0,33613.78609856497,100.0,0.0,0.0,33613.78609856497,100.0,4.959855876950657,0.014755421666595308,2.0850677957721784
Blantyre||Blantyre North,constituency,Blantyre,Blantyre North,0.01,,,,,,29.38715978159623,317.64163571135964,0.7621730476376531,30,,,,,,311.3775945532555,37358.5379711794,89.64086423057826,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,37358.5379711794,89.64086423057826,311.3775945532555,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,20.0166015625,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41675.789598685806,100.0,41675.789598685806,100.0,41675.789598685806,100.0,0.0,0.0,41675.789598685806,100.0,183.7048919747419,0.44079522846169383,21.255235734172892
Blantyre||Blantyre North East,constituency,Blantyre,Blantyre North East,0.01,,,,,,0.0,0.0,0.0,30,,,,,,184.30132979037717,33963.51864481755,98.80042928810376,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,33963.51864481755,98.80042928810376,184.30132979037717,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,15.902777777777777,20,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34375.88165308406,100.0,34375.88165308406,100.0,34375.88165308406,100.0,0.0,0.0,34375.88165308406,100.0,0.0,0.0,0.0
Blantyre||Blantyre South East,constituency,Blantyre,Blantyre South East,0.01,,,,,,0.0,0.0,0.0,30,,,,,,127.4378129697314,26676.84204398942,88.71340181707463,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,26676.84204398942,88.71340181707463,127.4378129697314,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.244956772334294,19,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30070.813989296195,100.0,30070.813989296195,100.0,11928.841588509957,39.669167561463645,0.0,0.0,30070.813989296195,100.0,0.0,0.0,0.0
Blantyre||Blantyre South West,constituency,Blantyre,Blantyre South West,0.01,,,,,,3.7678905991946943,4.874171222658718,0.013267664492695104,30,,,,,,165.54474320061067,29594.520603468023,80.55731985032467,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,29594.520603468023,80.55731985032467,165.54474320061067,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,17.480609418282548,19,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36737.22097315871,100.0,36737.22097315871,100.0,31235.22270869152,85.02336834763001,0.0,0.0,36737.22097315871,100.0,0.0,0.0,0.0
