feature_uid,admin_level,district_name,child_population,river_flood_threshold,river_flood_mean,river_flood_min,river_flood_max,river_flood_p10,river_flood_p90,river_flood_affected_km2,river_flood_exposed_children,river_flood_exposed_children_pct,ag_drought_threshold,ag_drought_mean,ag_drought_min,ag_drought_max,ag_drought_p10,ag_drought_p90,ag_drought_affected_km2,ag_drought_exposed_children,ag_drought_exposed_children_pct,spei_drought_threshold,spei_drought_mean,spei_drought_min,spei_drought_max,spei_drought_p10,spei_drought_p90,spei_drought_affected_km2,spei_drought_exposed_children,spei_drought_exposed_children_pct,spi_drought_threshold,spi_drought_mean,spi_drought_min,spi_drought_max,spi_drought_p10,spi_drought_p90,spi_drought_affected_km2,spi_drought_exposed_children,spi_drought_exposed_children_pct,drought_any_exposed_children,drought_any_exposed_children_pct,drought_any_affected_km2,wind_threshold_kmh,rain_threshold_mm_day,wind_exceed_days_tier_1,wind_exceed_days_tier_2,wind_exceed_days_tier_3,rain_exceed_days_tier_1,rain_exceed_days_tier_2,rain_exceed_days_tier_3,analysis_start,analysis_end_exclusive,analysis_scale_m,wind_era5_exceed_days_mean,wind_era5_exceed_days_max,wind_era5_exceed_days_p90,rain_era5_exceed_days_mean,rain_era5_exceed_days_max,rain_era5_exceed_days_p90,wind_era5_exposed_children,wind_era5_exposed_children_pct,wind_era5_ge5d_exposed_children,wind_era5_ge5d_exposed_children_pct,wind_era5_ge15d_exposed_children,wind_era5_ge15d_exposed_children_pct,wind_era5_ge30d_exposed_children,wind_era5_ge30d_exposed_children_pct,rain_era5_exposed_children,rain_era5_exposed_children_pct,rain_era5_ge5d_exposed_children,rain_era5_ge5d_exposed_children_pct,rain_era5_ge15d_exposed_children,rain_era5_ge15d_exposed_children_pct,rain_era5_ge30d_exposed_children,rain_era5_ge30d_exposed_children_pct,any_exceed_exposed_children,any_exceed_exposed_children_pct,any_risk_exposed_children,any_risk_exposed_children_pct,any_risk_affected_km2
Balaka,district,Balaka,233203.80988945343,0.01,,,,,,143.10556605469952,1336.0698362239436,0.5729193862044047,30,,,,,,2104.2071608379765,233065.90617372765,99.94086558200264,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,233065.90617372765,99.94086558200264,2104.2071608379765,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,20.281816581587744,24,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233203.80988945343,100.0,233203.80988945343,100.0,233203.80988945343,100.0,0.0,0.0,233203.80988945343,100.0,1319.391298336784,0.565767471364306,127.0988605503942
Blantyre,district,Blantyre,211126.9953513261,0.01,,,,,,65.27615624409094,569.4702988290028,0.26972879421761065,30,,,,,,1116.3297827933352,175451.40005020698,83.10230520651653,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,175451.40005020698,83.10230520651653,1116.3297827933352,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,17.86975763962066,23,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211126.9953513261,100.0,211126.9953513261,100.0,187464.8011900779,88.79243550931368,0.0,0.0,211126.9953513261,100.0,297.0579674410616,0.14070108227834244,29.17330555144479
Blantyre City,district,Blantyre City,330247.5503916748,0.01,,,,,,0.0,0.0,0.0,30,,,,,,168.1272563826804,235913.22886265317,71.43526987039243,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,235913.22886265317,71.43526987039243,168.1272563826804,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.823161189358373,17,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330247.5503916748,100.0,330247.5503916748,100.0,312046.3967946477,94.48863327663128,0.0,0.0,330247.5503916748,100.0,0.0,0.0,0.0
Chikwawa,district,Chikwawa,258555.6530344579,0.01,,,,,,813.1112533744644,17500.883874299958,6.768710592441621,30,,,,,,3030.3039435814426,245847.84968358462,95.08508005849723,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,308.0030847175449,22735.66186909524,8.793333892438717,245847.84968358462,95.08508005849723,3030.3039435814426,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.618802160039273,21,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258555.6530344579,100.0,258555.6530344579,100.0,178464.86291776047,69.02377140985439,0.0,0.0,258555.6530344579,100.0,16692.33796113266,6.455994199016047,746.8481296597744
Chiradzulu,district,Chiradzulu,164277.75842195674,0.01,,,,,,2.316534126739876,149.7241667928065,0.09114086303042405,30,,,,,,760.1681238436233,164277.75842195674,100.0,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,164277.75842195674,100.0,760.1681238436233,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.057425742574257,18,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164277.75842195674,100.0,164277.75842195674,100.0,80023.27835389739,48.712180591333045,0.0,0.0,164277.75842195674,100.0,149.7241667928065,0.09114086303042405,2.316534126739876
Chitipa,district,Chitipa,119646.53578667884,0.01,,,,,,102.11405450923769,310.42172349653407,0.2594489856772733,30,,,,,,48.51443247654857,1714.2589715189206,1.4327694155519228,-1.5,,,,,,478.38045122109185,19898.238661482876,16.630852310642744,-1.5,,,,,,126.61837061970841,0.09798547666446836,8.189579081434451E-5,20848.113126224413,17.42475282643795,485.367036613296,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,20.163905377868343,80,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119646.53578667884,100.0,106645.2008326765,89.13354668522724,20552.55061582317,17.17772309970335,13048.702690068267,10.906043041089935,119646.53578667884,100.0,237.93479927389643,0.19886476253530402,67.48111703582838
Dedza,district,Dedza,412297.84402674536,0.01,,,,,,183.97530864266787,1712.957760930646,0.41546609708187754,30,,,,,,25.254056610780605,1184.7575748217455,0.2873547829527072,-1.5,,,,,,527.1117869171443,48656.27551607951,11.801244226958225,-1.5,,,,,,0.0,0.0,0.0,1189.8777827420072,0.288596654088936,27.304762915770212,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,14.165692400725662,21,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412297.84402674536,100.0,412297.84402674536,100.0,188939.2206841962,45.82590557323892,0.0,0.0,412297.84402674536,100.0,84.57063895423039,0.020512025512494404,6.2256305785740125
Dowa,district,Dowa,382911.2560790524,0.01,,,,,,101.9516208202231,493.9418251316045,0.1289964233983317,30,,,,,,3023.8510937592573,380685.29458937346,99.41867431308434,-1.5,,,,,,0.0,0.0,0.0,-1.5,,,,,,0.0,0.0,0.0,380685.29458937346,99.41867431308434,3023.8510937592573,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,4.900160236657216,14,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382911.2560790524,100.0,142372.49203676305,37.18158967031518,0.0,0.0,0.0,0.0,382911.2560790524,100.0,477.7317172223154,0.12476303833797125,100.88996280478494
Karonga,district,Karonga,156063.99260384624,0.01,,,,,,279.00387990965555,12626.481192244559,8.09057937169126,30,,,,,,1280.3877164847713,139386.68742936122,89.31380333398313,-1.5,,,,,,1106.5021747427827,86765.09322445652,55.59584358750935,-1.5,,,,,,1475.947927414201,72532.48714661831,46.476119146032104,139433.39122287164,89.34372938722014,1289.2221976436822,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.11733880154932784,17,0.0,23.27967646388699,88,51.0,12266.22329136434,7.859739512432566,1150.621830427091,0.7372756593174162,0.0,0.0,0.0,0.0,156063.99260384624,100.0,156063.99260384624,100.0,114748.80844919471,73.52676715151955,34396.78429323723,22.04017962077276,156063.99260384624,100.0,12334.43479260722,7.903446904576524,188.93443647669815
Karonga Town,district,Karonga Town,31167.44334109249,0.01,,,,,,23.456388579162898,8794.964024512441,28.21843270319444,30,,,,,,42.5894493780884,30474.25848081847,97.7759328774969,-1.5,,,,,,44.00572712888904,31134.44850617085,99.89413685761598,-1.5,,,,,,44.00572712888904,31134.44850617085,99.89413685761598,30474.25848081847,97.7759328774969,42.5894493780884,40,40,5,15,30,5,15,30,2020-01-01,2025-02-01,10000,0.0,0,0.0,8.152542372881355,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31167.44334109249,100.0,31167.44334109249,100.0,0.0,0.0,0.0,0.0,31167.44334109249,100.0,8794.964024512441,28.21843270319444,23.199198165828108
